,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
927,Zombieland,2009,88 min,7.6,73        ,"538,629",$75.59M,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
928,Die Welle,2008,107 min,7.6,,"105,425",,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.
929,Sherlock Holmes,2009,128 min,7.6,57        ,"599,986",$209.03M,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
930,Góc Khuất,2009,129 min,7.6,53        ,"305,261",$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
931,The Visitor,I) (,104 min,7.6,79        ,"42,346",$9.42M,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.
932,Seven Pounds,2008,123 min,7.6,36        ,"292,818",$69.95M,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
933,Eastern Promises,2007,100 min,7.6,82        ,"233,676",$17.11M,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
934,Stardust,2007,127 min,7.6,66        ,"261,603",$38.63M,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
935,The Secret of Kells,2009,71 min,7.6,81        ,"33,583",$0.69M,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
936,Inside Man,2006,129 min,7.6,76        ,"352,337",$88.51M,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
937,Gone Baby Gone,2007,114 min,7.6,72        ,"260,689",$20.30M,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
938,La Vie En Rose,2007,140 min,7.6,66        ,"84,553",$10.30M,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy."
939,Hoắc Nguyên Giáp,2006,104 min,7.6,70        ,"74,212",$24.63M,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation."
940,Dead Man's Shoes,2004,90 min,7.6,52        ,"51,355",$0.01M,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.
941,Harry Potter và Hoàng Tử Lai,2009,153 min,7.6,78        ,"496,052",$301.96M,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
942,300,2006,117 min,7.6,52        ,"754,296",$210.61M,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
943,Match Point,2005,124 min,7.6,72        ,"210,985",$23.09M,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
944,Người Hùng Báo Thù,2009,162 min,7.6,56        ,"523,728",$107.51M,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
945,Lưỡi Cưa,2004,103 min,7.6,46        ,"394,630",$56.00M,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
946,Mysterious Skin,2004,105 min,7.6,73        ,"67,373",$0.70M,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth."
947,Un long dimanche de fiançailles,2004,133 min,7.6,76        ,"72,137",$6.17M,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
948,The Station Agent,2003,89 min,7.6,81        ,"68,748",$5.74M,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
949,21 Grams,2003,124 min,7.6,70        ,"229,974",$16.29M,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
950,Boksuneun naui geot,2002,129 min,7.6,56        ,"65,197",$0.05M,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant."
951,25th Hour,2002,135 min,7.6,68        ,"174,157",$13.06M,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
952,The Butterfly Effect,2004,113 min,7.6,30        ,"464,370",$57.94M,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
953,I Am Sam,2001,132 min,7.6,28        ,"146,245",$40.31M,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
954,Batoru rowaiaru,2000,114 min,7.6,81        ,"173,863",,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
955,The Royal Tenenbaums,2001,110 min,7.6,76        ,"275,327",$52.36M,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
956,Y tu mamá también,2001,106 min,7.6,88        ,"118,867",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
957,Harry Potter và Hòn Đá Phù Thủy,2001,152 min,7.6,64        ,"692,949",$317.58M,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
958,The Others,2001,101 min,7.6,74        ,"349,391",$96.52M,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.
959,Enemy at the Gates,2001,131 min,7.6,53        ,"250,491",$51.40M,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.
960,Sát Nhân Giấu Mặt,2002,145 min,7.6,80        ,"524,117",$132.07M,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
961,American Psycho,2000,101 min,7.6,64        ,"520,312",$15.07M,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
962,The Thin Red Line,1998,170 min,7.6,78        ,"179,347",$36.40M,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
963,Hoa Mộc Lan,1998,88 min,7.6,71        ,"267,115",$120.62M,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
964,Fear and Loathing in Las Vegas,1998,118 min,7.6,41        ,"267,503",$10.68M,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
965,Dark City,1998,100 min,7.6,66        ,"192,796",$14.38M,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
966,Lost Highway,1997,134 min,7.6,52        ,"135,608",$3.80M,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
967,Die Hard: With a Vengeance,1995,128 min,7.6,58        ,"372,355",$100.01M,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
968,The Bridges of Madison County,1995,135 min,7.6,69        ,"76,401",$71.52M,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
969,Apollo 13,I) (,140 min,7.6,77        ,"279,173",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
970,Trois couleurs: Blanc,1994,92 min,7.6,88        ,"69,033",$1.46M,"After his wife divorces him, a Polish immigrant plots to get even with her."
971,Dazed and Confused,1993,102 min,7.6,78        ,"173,027",$7.99M,The adventures of high school and junior high students on the last day of school in May 1976.
972,My Cousin Vinny,1992,120 min,7.6,68        ,"113,371",$52.93M,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
973,Omohide poro poro,1991,118 min,7.6,90        ,"29,239",$0.45M,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.
974,Delicatessen,1991,99 min,7.6,66        ,"82,644",$1.79M,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.
975,Ở Nhà Một Mình,1990,103 min,7.6,63        ,"505,070",$285.76M,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
976,The Godfather: Part III,1990,162 min,7.6,60        ,"373,255",$66.67M,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
977,When Harry Met Sally...,1989,95 min,7.6,76        ,"204,430",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
978,The Naked Gun: From the Files of Police Squad!,1988,85 min,7.6,76        ,"159,516",$78.76M,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
